company,ticker,alert_id,category,alert_name,description,metric,comparison_operator,warning_threshold,critical_threshold,unit,current_value,base_case_value,variance,as_of_date,status,severity,trend,triggered_date,next_review_date,review_frequency,required_action,owner,source_name,source_file,source_page_or_section,source_url,calculation_or_rule,notes
"Coherus Oncology, Inc.",CHRS,LIQ-01,Liquidity,Cash below $100 million,"Cash & marketable securities fall below $100M, an Orion early-warning level well above the $15M covenant floor.",Cash & marketable securities (total liquidity),<,100000,75000,USD thousands,167048,160602,,2026-03-31,Clear,Moderate,Deteriorating,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion liquidity workbook / Q1 2026 10-Q,coherus_liquidity.csv,Liquidity Analysis (2026-03-31),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Reported cash 115,238 + marketable securities 51,810 = 167,048; base = Q2'26 projected ending cash & MS.","Base case does not cross $100M until FY2028 (~85,254 YE); Downside crosses in Q4 2026 (95,456)."
"Coherus Oncology, Inc.",CHRS,LIQ-02,Liquidity,Cash below $75 million,Cash & marketable securities fall below $75M — heightened liquidity stress and a likely capital-raise trigger.,Cash & marketable securities (total liquidity),<,75000,50000,USD thousands,167048,160602,,2026-03-31,Clear,High,Deteriorating,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion liquidity workbook / Q1 2026 10-Q,coherus_liquidity.csv,Liquidity Analysis (2026-03-31),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Threshold breach when total cash & MS < 75,000.","Base never below 75M through 2029 (FY2029 YE ~24,398); Downside crosses in Q1 2027 (67,471)."
"Coherus Oncology, Inc.",CHRS,LIQ-03,Liquidity,Cash below $50 million,Cash & marketable securities fall below $50M — severe stress; runway to the covenant floor measured in a few quarters.,Cash & marketable securities (total liquidity),<,50000,25000,USD thousands,167048,160602,,2026-03-31,Clear,Critical,Deteriorating,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion liquidity workbook / Q1 2026 10-Q,coherus_liquidity.csv,Liquidity Analysis (2026-03-31),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Threshold breach when total cash & MS < 50,000.","Base FY2029 YE ~24,398 (below 50M only at the very end); Downside crosses in Q2 2027 (39,161)."
"Coherus Oncology, Inc.",CHRS,LIQ-04,Liquidity,Indicative covenant headroom below $25 million,"Orion indicative headroom over the $15M minimum-liquidity covenant falls below $25M — an early-warning band, NOT a legal breach.",Indicative covenant headroom (qualifying cash less $15M floor),<,25000,10000,USD thousands,152048,144602,,2026-03-31,Clear,High,Deteriorating,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion compliance/liquidity workbook,coherus_compliance.csv,Minimum Liquidity — indicative headroom,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Headroom = qualifying cash - 15,000. Indicative (uses reported cash+MS), not covenant-basis.","Orion early-warning threshold, distinct from the legal covenant breach (CMP-06). Base first < 25M in FY2029 (~8,398); Downside in Q2 2027 (23,161)."
"Coherus Oncology, Inc.",CHRS,LIQ-05,Liquidity,Covenant liquidity below $15 million (approaching floor),"Qualifying (unrestricted, controlled-account) cash approaches the $15M minimum-liquidity covenant floor — proximity monitor to the sole financial covenant.",Unrestricted qualifying cash (indicative),<,20000,15000,USD thousands,166058,159602,,2026-03-31,Clear,Critical,Deteriorating,,2026-08-14,Continuous,,Orion Analysis / BBDC Credit,2024 Loan Agreement Sec. 6.16 / Orion liquidity workbook,coherus_credit_agreement.csv,Sec. 6.16; def. 'Liquidity' (Sec. 13.1),https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,"Qualifying cash ~= cash+MS 167,048 less restricted 240 less excluded accts ~750. Covenant floor 15,000, tested continuously.","MATERIAL FLAG: if ~$61.6M is UDENYCA-TSA pass-through and not covenant-qualifying, qualifying cash ~$105M and breach-absent-capital moves ~2 qtrs earlier. VERIFY controlled-account cash directly."
"Coherus Oncology, Inc.",CHRS,LIQ-06,Liquidity,Runway below 18 months,Liquidity runway (normalized) falls below 18 months — first-tier runway early warning.,"Liquidity runway (normalized, cash & MS / normalized monthly burn)",<,18,12,months,18.0,18.2,,2026-03-31,Watch,Moderate,Deteriorating,,2026-08-14,Quarterly,Confirm Q2 2026 normalized burn vs the ~$8.8M/mo base; recompute runway on covenant-qualifying (not reported) cash to test the TSA sensitivity.,Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,Liquidity runway (Base),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Runway = ending cash & MS / normalized monthly burn. Base hovers 17.7-20.4 mo — at/near the 18-mo line.,Reported runway is ~11.8 mo but distorted by a one-time ~$21M Q1'26 TSA settlement in operating burn; normalized runway ~18 mo. On covenant-qualifying cash (ex-TSA) runway is materially shorter.
"Coherus Oncology, Inc.",CHRS,LIQ-07,Liquidity,Runway below 12 months,Liquidity runway falls below 12 months — capital-raise should be underway; second-tier runway warning.,Liquidity runway (normalized),<,12,6,months,18.0,18.2,,2026-03-31,Clear,High,Deteriorating,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,Liquidity runway (Base/Downside),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Runway < 12 months. Base stays >17 mo through the horizon.,"Downside crosses below 12 mo in Q4 2026 (9.8 mo). Reported (TSA-distorted) runway 11.8 mo already below this line — treat as data-quality caveat, not a confirmed trigger."
"Coherus Oncology, Inc.",CHRS,LIQ-08,Liquidity,Runway below 6 months,Liquidity runway falls below 6 months — imminent covenant-floor risk; escalate.,Liquidity runway (normalized),<,6,3,months,18.0,18.2,,2026-03-31,Clear,Critical,Deteriorating,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,Liquidity runway (Downside),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Runway < 6 months.,"Downside crosses below 6 mo in Q2 2027 (4.1 mo), consistent with Downside covenant breach ~Q3 2027."
"Coherus Oncology, Inc.",CHRS,FIN-01,Financial Performance,Quarterly revenue below base projection,Reported quarterly total net revenue comes in below the Orion base-case projection for that quarter.,Total net revenue (quarterly),<,13075,11768,USD thousands,Information Unavailable (Q2 2026 not yet reported),13075,,2026-07-20,Information Unavailable,Moderate,Unknown,,2026-08-06,Quarterly,"On Q2 2026 reporting (~2026-08-06), compare actual total net revenue to the $13,075K Q2 base; flag Watch if below base, and reassess the LOQTORZI ramp.",Orion Analysis / BBDC Credit,Orion projections / Q1 2026 earnings,coherus_projections.csv,"Total net revenue (Base, Q2 2026)",https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Compares the reporting quarter's ACTUAL total revenue to that quarter's base. Warning = actual < base Q2'26 13,075; critical = actual < 90% of base (11,768). Pending Q2 2026 actual — no like-for-like base exists for Q1'26 (Base scenario starts Q2'26).","Prior quarter Q1'26 total revenue 12,310 missed ~14,430 consensus (-14.7%); management guided a return to growth in Q2 2026. Held Information Unavailable until Q2 actual prints to avoid comparing Q1 actual against a Q2 projection."
"Coherus Oncology, Inc.",CHRS,FIN-02,Financial Performance,LOQTORZI revenue decline,LOQTORZI net product revenue declines sequentially (QoQ) — the sole-product franchise is the entire near-term top line.,LOQTORZI net revenue growth (QoQ),<,0,-10,%,-4.8,7.6,,2026-03-31,Watch,Moderate,Stable,,2026-08-06,Quarterly,Confirm whether the Q1'26 sequential dip reverses in Q2 2026 as guided; a second consecutive QoQ decline escalates to Triggered.,Orion Analysis / BBDC Credit,Q1 2026 earnings / Orion projections,coherus_projections.csv,LOQTORZI revenue growth (QoQ),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Warning when QoQ growth < 0. Q1'26 LOQTORZI net rev ~11,800 (-4.8% QoQ, +61% YoY). Base Q2'26 QoQ ~+7.6%.","Q1'26 sequential decline attributed by management to winter-storm disruption; YoY still +61%. Single-quarter, weather-related — watched, not confirmed trend."
"Coherus Oncology, Inc.",CHRS,FIN-03,Financial Performance,Revenue variance exceeding 10%,"Actual quarterly revenue deviates from the base/consensus expectation by more than 10% (either direction, downside-weighted).",Revenue variance vs expectation,<=,-10,-15,%,-14.7,0,-14.7,2026-03-31,Triggered,High,Deteriorating,2026-05-11,2026-08-06,Quarterly,Q1'26 missed by ~14.7%; track Q2 2026 (~2026-08-06) to confirm the guided rebound and reassess FY2026 revenue vs the $52.2M LOQTORZI base.,Orion Analysis / BBDC Credit,Q1 2026 earnings (Investing.com),coherus_projections.csv,Q1 2026 revenue vs consensus,https://www.investing.com/news/transcripts/earnings-call-transcript-coherus-biosciences-q1-2026-revenue-miss-prompts-cautious-outlook-93CH-4694943,"Signed variance = (actual - expected)/expected. Warning if variance <= -10%; critical if <= -15%. Q1'26: (12,310-14,430)/14,430 = -14.7% -> trips the -10% warning tier (a downside miss). Use signed <= (not abs) so upside beats do not alarm.",TRIGGERED on the Q1 2026 miss (evidence: earnings release). Management guided return to growth Q2 2026; downgrade to Watch if Q2 lands within 10% of base.
"Coherus Oncology, Inc.",CHRS,FIN-04,Financial Performance,Cash burn exceeding base projection,Normalized quarterly operating cash burn exceeds the Orion base-case burn.,Quarterly cash burn (normalized),>,26445,35000,USD thousands,29000,26445,,2026-03-31,Watch,Moderate,Stable,,2026-08-14,Quarterly,Strip one-time TSA items from Q2 2026 operating cash flow and compare normalized burn to the ~$26.4M base; investigate any structural (non-TSA) overrun.,Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,Monthly cash burn (normalized) x3 (Base),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Base normalized quarterly burn = 8,815/mo x 3 = 26,445 (Q2'26). Warning if normalized burn exceeds base.","Reported Q1'26 operating burn 57,886 includes a one-time ~$21M UDENYCA-TSA settlement; normalized recurring burn ~$28-30M/qtr, modestly above base."
"Coherus Oncology, Inc.",CHRS,FIN-05,Financial Performance,Gross-margin deterioration,"Product gross margin erodes below the base-case ~69% (e.g., from Junshi royalty step-ups or higher gross-to-net deductions).",Gross margin,<,65,60,%,69,69.2,,2026-03-31,Clear,Moderate,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,Gross margin (Base),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Gross margin = gross profit / total net revenue. Warning if < 65%.,LOQTORZI carries a low-20s% Junshi royalty (in COGS/revenue-participation); base holds ~69%. Watch for reimbursement/gross-to-net pressure.
"Coherus Oncology, Inc.",CHRS,FIN-06,Financial Performance,Operating expenses exceeding projections,Total operating expenses (COGS + R&D + SG&A) exceed the Orion base-case for the quarter.,Total operating expenses (quarterly),>,47532,52285,USD thousands,Information Unavailable,47532,,2026-03-31,Information Unavailable,Moderate,Stable,,2026-08-14,Quarterly,"Extract Q2 2026 total opex from the 10-Q and compare to the $47,532K base; flag pipeline-driven R&D step-ups above plan.",Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,"Total operating expenses (Base, Q2 2026)",https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Warning if quarterly opex > base 47,532; critical if > 110% of base (52,285).",Management reduced opex in Q1 2026; exact Q1'26 total opex not isolated in this framework. Pipeline readouts (2026-2027) are the main upside-spend risk.
"Coherus Oncology, Inc.",CHRS,FIN-07,Financial Performance,External-capital requirement increasing,The cumulative external capital (ATM/equity + earnouts) required to hold the covenant to maturity rises above the base plan.,Total external capital required through May 2029,>,154000,222439,USD thousands,154000,154000,,2026-07-20,Watch,High,Stable,,2026-08-14,Quarterly,"Re-run the funding bridge each quarter; if required external capital rises toward the Downside ~$222M, escalate — survival is contingent on serial ATM access.",Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,Total external capital required through May 2029,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Cumulative equity/ATM + earnouts to hold >$15M covenant to maturity. Base ~154,000; Downside ~222,439; Upside ~125,000.",Central credit finding: liquidity/capital-markets access — not the $38.66M maturity or franchise durability — is the binding constraint. TSA sensitivity adds ~$60M to the requirement.
"Coherus Oncology, Inc.",CHRS,CAP-01,Capital & Refinancing,ATM / equity issuance below required levels,Actual ATM/equity proceeds fall short of the ~$20M/qtr the base case needs to hold the covenant floor.,Equity / ATM proceeds vs required (quarterly),<,20000,10000,USD thousands,Information Unavailable,20000,,2026-07-20,Watch,High,Unknown,,2026-08-14,Quarterly,Track actual ATM utilization / equity issuance each 10-Q and prospectus supplement against the ~$20M/qtr base requirement; a shortfall accelerates the covenant path.,Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,Equity issuance / ATM proceeds (Base),https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,Base models ~$20M/qtr ATM (minimum to hold covenant). Warning if actual proceeds < required.,No mandatory-prepayment sweep on equity proceeds — cash stays with the company. Financing capacity is share-price-sensitive (see CAP-02).
"Coherus Oncology, Inc.",CHRS,CAP-02,Capital & Refinancing,Share-price deterioration affecting financing access,CHRS share price falls to levels that impair ATM capacity (more dilution per dollar) or threaten Nasdaq listing compliance.,CHRS share price (close),<,1.50,1.00,USD per share,1.40,,,2026-07-17,Watch,High,Stable,,2026-08-14,Monthly,Monitor price and 30-day average; below $1.00 raises Nasdaq minimum-bid-price risk and sharply raises dilution to raise the ~$154M needed — reassess ATM feasibility.,Orion Analysis / BBDC Credit,Market data / Orion valuation workbook,coherus_valuation.csv,Company Valuation — Share price (close),https://www.cnn.com/markets/stocks/CHRS,Warning if close < $1.50; critical if < $1.00 (listing/financing stress).,Close $1.40 on 2026-07-17 (prev $1.38); ~154.25M shares; mkt cap ~$215.95M. Low price is the key constraint on ATM-funded survival.
"Coherus Oncology, Inc.",CHRS,CAP-03,Capital & Refinancing,New debt or liens incurred,Coherus incurs new indebtedness or grants liens outside permitted baskets — potential structural subordination or covenant issue.,New debt / liens disclosed,event detected,Permitted baskets only,Non-permitted debt/lien,text,None disclosed,,,2026-07-20,Clear,High,Stable,,2026-08-14,Event-driven,,Orion Analysis / BBDC Credit,2024 Loan Agreement Sec. 6.4-6.6 / SEC filings,coherus_credit_agreement.csv,Permitted Indebtedness / Permitted Liens,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Event: any new debt/lien in 8-K/10-Q. Only Permitted Indebtedness/Liens allowed; term loan is first-lien senior secured.,Convertibles substantially retired (2026 notes ~$0.1M stub repaid Apr 2026); cross-default exposure limited. Large convertible basket (>$350M / 25% mkt cap) is junior/unsecured.
"Coherus Oncology, Inc.",CHRS,CAP-04,Capital & Refinancing,Refinancing requirement increasing,"Projected cash at the May 2029 maturity is insufficient to repay the $38.66M term loan, creating a refinancing need.",2029 refinancing requirement,>,0,38660,USD thousands,0,0,,2026-07-20,Clear,Moderate,Stable,,2026-08-14,Quarterly,,Orion Analysis / BBDC Credit,Orion projections workbook,coherus_projections.csv,2029 refinancing requirement / Cash available at maturity,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058703/chrs-20260331x10q.htm,"Refi need = principal not coverable by maturity cash. Base cash at maturity ~$61.4M (>$38.66M) -> 0; Downside -> full $38,660 refi + $222M shortfall.",Base repayment is CONTINGENT on ~$154M cumulative ATM/equity access; Downside implies covenant breach 2027 and distressed refinancing/restructuring.
"Coherus Oncology, Inc.",CHRS,CAP-05,Capital & Refinancing,Maturity within 24 months,The 2029 term loan enters a 24-month-to-maturity window — refinancing planning should be active.,Months to maturity (2029-05-08),<=,24,18,months,33.6,,,2026-07-20,Clear,Low,Stable,,2027-05-08,Quarterly,,Orion Analysis / BBDC Credit,2024 Loan Agreement (Term Loan due 2029),coherus_credit_agreement.csv,Maturity 2029-05-08,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Months to maturity from build date (2026-07-20) ~33.6. Window opens 2027-05-08.,"Interest-only bullet, no amortization; prepayment premium 0% after year 3 (i.e., after 2027-05-08)."
"Coherus Oncology, Inc.",CHRS,CAP-06,Capital & Refinancing,Maturity within 18 months,The 2029 term loan enters an 18-month-to-maturity window.,Months to maturity (2029-05-08),<=,18,12,months,33.6,,,2026-07-20,Clear,Moderate,Stable,,2027-11-08,Quarterly,,Orion Analysis / BBDC Credit,2024 Loan Agreement (Term Loan due 2029),coherus_credit_agreement.csv,Maturity 2029-05-08,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Window opens 2027-11-08.,Refinancing visibility should be firm by this window absent full cash repayment capacity.
"Coherus Oncology, Inc.",CHRS,CAP-07,Capital & Refinancing,Maturity within 12 months,The 2029 term loan enters a 12-month-to-maturity window — refinancing/repayment plan must be committed.,Months to maturity (2029-05-08),<=,12,6,months,33.6,,,2026-07-20,Clear,High,Stable,,2028-05-08,Quarterly,,Orion Analysis / BBDC Credit,2024 Loan Agreement (Term Loan due 2029),coherus_credit_agreement.csv,Maturity 2029-05-08,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Window opens 2028-05-08.,Within 12 months the loan is a current maturity for the borrower's going-concern assessment.
"Coherus Oncology, Inc.",CHRS,CAP-08,Capital & Refinancing,Maturity within 6 months,The 2029 term loan enters a 6-month-to-maturity window — escalate to imminent repayment/refinancing execution.,Months to maturity (2029-05-08),<=,6,3,months,33.6,,,2026-07-20,Clear,Critical,Stable,,2028-11-08,Monthly,,Orion Analysis / BBDC Credit,2024 Loan Agreement (Term Loan due 2029),coherus_credit_agreement.csv,Maturity 2029-05-08,https://www.sec.gov/Archives/edgar/data/1512762/000155837024008542/chrs-20240508xex10d1.htm,Window opens 2028-11-08.,Change-of-control is the only mandatory-prepayment trigger; otherwise repayment is a bullet at 2029-05-08.
