company,ticker,category,subcategory,metric,entity,as_of_date,value,unit,status,importance,credit_impact,source_name,source_file,source_page_or_section,source_url,notes
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Supply/License,Manufacturing/supply dependence,LOQTORZI (toripalimab-tpzi),2025-12-31,Single-source supply from Junshi (China),text,Reported,High,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Risk Factors (p.32); Overview (p.5),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Junshi supplies drug substance and finished product; single-source foreign (China) supply chain. Company is pursuing U.S. onshoring. Exposure to supply disruption and pharmaceutical-tariff risk."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Exclusivity,Orphan drug designation (NPC),LOQTORZI (toripalimab-tpzi),2020-05-18,Designated and approved for NPC,text,Reported,High,Positive,FDA Office of Orphan Products Development,n/a,FDA OOPD orphan designation record,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/detailedIndex.cfm?cfgridkey=738620,"FDA orphan drug designation for treatment of NPC, designated 2020-05-18, status Designated/Approved. Grants 7-year orphan exclusivity from approval."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Exclusivity,Orphan exclusivity expiry (derived),LOQTORZI (toripalimab-tpzi),2030-10-27,2030-10-27,date,Calculated,High,Positive,Derived from approval date + 7-yr orphan term,n/a,FDA OOPD record + FDA approval date,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/detailedIndex.cfm?cfgridkey=738620,"Calculated: 7-year orphan exclusivity from approval 2023-10-27 = 2030-10-27. Blocks same-drug/same-indication approval; runs ~17 months past the 2029 term-loan maturity."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Exclusivity,BLA reference-product exclusivity expiry (derived),LOQTORZI (toripalimab-tpzi),2035-10-27,2035-10-27,date,Calculated,High,Positive,Derived from approval date + 12-yr BPCIA term,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Intellectual Property (p.29),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Calculated: 12-year biologic reference-product exclusivity under BPCIA from 2023-10-27 = 2035-10-27. Company states LOQTORZI qualifies for the 12-year period. Biosimilar entry blocked well beyond 2029 debt maturity."
"Coherus Oncology, Inc.",CHRS,LOQTORZI,Exclusivity,Composition/method patents & LOE,LOQTORZI (toripalimab-tpzi),2025-12-31,Not disclosed in 10-K,text,Reported,Medium,Neutral,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Intellectual Property (p.13-15),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"10-K does not list specific LOQTORZI/toripalimab patent numbers, Purple Book entries, or a loss-of-exclusivity year. Regulatory (orphan/BLA) exclusivity is the documented protection; patent-cliff timing not source-verifiable."
"Coherus Oncology, Inc.",CHRS,Competition,Direct Competitor,Penpulimab-kcqx - approval & indication,Penpulimab-kcqx (Akeso / Chia Tai-Tianqing),2025-04-24,FDA-approved 1L combo + monotherapy for non-keratinizing NPC,text,Reported,High,Negative,Akeso press release; FDA/ASCO coverage,n/a,Akeso FDA approval announcement,https://www.prnewswire.com/news-releases/akeso-announces-fda-approval-for-penpulimab-kcqx-in-two-bla-indications-for-comprehensive-treatment-of-advanced-nasopharyngeal-carcinoma-302437965.html,"Only other FDA-approved PD-1 in NPC. Approved 2025-04-24 for 1L (with cisplatin/carboplatin + gemcitabine) and monotherapy (>=2 prior lines) in non-keratinizing NPC. Trials AK105-304/AK105-202. Directly overlaps LOQTORZI's label."
"Coherus Oncology, Inc.",CHRS,Competition,Direct Competitor,Penpulimab-kcqx - U.S. launch status,Penpulimab-kcqx (Akeso / Chia Tai-Tianqing),2025-12-31,Not yet launched in the U.S.,text,Reported,High,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition (p.8),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Company: 'To date, Akeso has not launched penpulimab in the United States.' LOQTORZI retains sole commercial availability for now; launch would erode pricing/share."
"Coherus Oncology, Inc.",CHRS,Competition,Direct Competitor,Penpulimab-kcqx - competitive threat level,Penpulimab-kcqx (Akeso / Chia Tai-Tianqing),2025-12-31,High,threat level,Orion Analysis,High,Negative,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: highest-priority threat - approved, label-overlapping PD-1 in NPC. Threat is latent until U.S. commercialization; a launch (potentially via a U.S. partner) would introduce direct price/share competition to LOQTORZI's sole revenue stream."
"Coherus Oncology, Inc.",CHRS,Competition,Off-label Competitor,Pembrolizumab (Keytruda) - NPC use & KEYNOTE-122,Pembrolizumab (Merck),2025-12-31,Off-label 2L; KEYNOTE-122 no OS benefit,text,Reported,Medium,Negative,VA drug monograph; Annals of Oncology (KEYNOTE-122),n/a,VA Monograph; KEYNOTE-122 publication,https://www.va.gov/formularyadvisor/DOC_PDF/MON_Toripalimab_LOQTORZI_Monograph_Nasopharyngeal_Carcinoma_Sep_2024.pdf,"Keytruda used off-label in R/M NPC. KEYNOTE-122 (2L monotherapy) ORR 23% vs 26% chemo; OS 17 vs 15 mo - did not improve OS. Not NPC-labeled; large installed base and payer familiarity make it a practical alternative, but LOQTORZI has the on-label / NCCN-preferred edge."
"Coherus Oncology, Inc.",CHRS,Competition,Off-label Competitor,Pembrolizumab - competitive threat level,Pembrolizumab (Merck),2025-12-31,Medium,threat level,Orion Analysis,Medium,Negative,Orion Analysis,n/a,Orion Analysis,https://www.annalsofoncology.org/article/S0923-7534(22)04777-9/fulltext,"Orion Analysis: medium threat - ubiquitous PD-1 with entrenched access, but lacks an NPC label and failed to show OS benefit in KEYNOTE-122, limiting guideline/payer displacement of LOQTORZI."
"Coherus Oncology, Inc.",CHRS,Competition,Class Competitor,Tislelizumab (TEVIMBRA) - class entrant,Tislelizumab (BeiGene),2025-12-31,U.S.-approved in other tumors; NPC-approved in China,text,Reported,Medium,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition (p.8),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Named class competitor. U.S.-approved for ESCC/gastric/NSCLC (not NPC); NPC-approved in China. Potential future NPC entrant/off-label pressure; not a current U.S. NPC competitor."
"Coherus Oncology, Inc.",CHRS,Competition,Class Competitor,Other approved PD-1/PD-L1 checkpoint inhibitors,PD-1/PD-L1 class (nivolumab; atezolizumab; durvalumab; cemiplimab; dostarlimab; avelumab),2025-12-31,Approved in other tumor types; potential future NPC use,text,Reported,Low,Neutral,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition (p.8),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Company lists Opdivo, Tecentriq, Imfinzi, Libtayo, Jemperli, Bavencio as class competitors. None NPC-labeled today; large well-funded owners could pursue NPC. Low near-term but persistent class threat."
"Coherus Oncology, Inc.",CHRS,Competition,Emerging Competitor,Camrelizumab - emerging PD-1,Camrelizumab (Elevar / Jiangsu Hengrui),2025-12-31,Emerging / in development,text,Reported,Low,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition (p.8),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Named as an emerging PD-1 competitor. Not U.S.-approved in NPC; a longer-dated potential entrant."
"Coherus Oncology, Inc.",CHRS,Reimbursement & Regulation,Government Coverage,Medicare / Medicaid coverage mechanics,LOQTORZI (toripalimab-tpzi),2025-12-31,Covered physician-administered biologic (buy-and-bill),text,Reported,High,Positive,Coherus FY2025 10-K; payer policies,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Government Regulation (p.16-17),https://www.aetna.com/cpb/medical/data/1000_1099/1049.html,"Physician-administered under Medicare Part B (ASP-based reimbursement; quarterly ASP reporting); subject to Medicaid Drug Rebate Program and 340B ceiling pricing. On-label + NCCN category-1 status underpins Medicare coverage. Broad coverage supports revenue realization."
"Coherus Oncology, Inc.",CHRS,Reimbursement & Regulation,Commercial Coverage,Commercial-payer coverage,LOQTORZI (toripalimab-tpzi),2025-12-31,Covered as medically necessary (prior auth),text,Reported,High,Positive,Aetna Clinical Policy Bulletin 1049; Moda policy,n/a,Aetna CPB 1049; Moda Health medical criteria,https://www.aetna.com/cpb/medical/data/1000_1099/1049.html,"Aetna deems toripalimab-tpzi medically necessary for NPC (1L combo and 2L monotherapy) subject to precertification; other payers (e.g., Moda) maintain positive policies. On-label + guideline status drives favorable commercial coverage."
"Coherus Oncology, Inc.",CHRS,Reimbursement & Regulation,Utilization Management,Reimbursement restrictions,LOQTORZI (toripalimab-tpzi),2025-12-31,Prior authorization / precertification required,text,Reported,Medium,Neutral,Aetna Clinical Policy Bulletin 1049,n/a,Aetna CPB 1049,https://www.aetna.com/cpb/medical/data/1000_1099/1049.html,"Precertification required (Specialty Pharmacy process). Standard oncology utilization management; label-concordant criteria, no step-through-competitor requirement noted."
"Coherus Oncology, Inc.",CHRS,Reimbursement & Regulation,Diagnostics,Required diagnostic / companion testing,LOQTORZI (toripalimab-tpzi),2025-12-31,None required (no companion diagnostic),text,Reported,Medium,Positive,Coherus FY2025 10-K; FDA label,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - LOQTORZI; FDA prescribing info,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-toripalimab-tpzi-nasopharyngeal-carcinoma,"No PD-L1 or companion-diagnostic requirement; approval is histology/line-based, not biomarker-gated. Removes a testing barrier to uptake versus biomarker-restricted therapies."
"Coherus Oncology, Inc.",CHRS,Reimbursement & Regulation,Post-Marketing,FDA post-marketing requirement,LOQTORZI (toripalimab-tpzi),2025-12-31,Confirmatory study active (NCT06457503),text,Reported,Medium,Neutral,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Overview (p.5),https://clinicaltrials.gov/study/NCT06457503,"Active, enrolling post-marketing commitment evaluating toripalimab + cisplatin/gemcitabine in advanced NPC (U.S./Canada). Routine PMR; adds modest ongoing R&D cost, no accelerated-approval withdrawal risk indicated."
"Coherus Oncology, Inc.",CHRS,Reimbursement & Regulation,Regulatory Risk,Drug-pricing / policy exposure,LOQTORZI (toripalimab-tpzi),2025-12-31,IRA + Medicaid cuts + MFN/tariff exposure,text,Reported,High,Negative,Coherus FY2025 10-K,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Government Regulation (p.19); Risk Factors,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"10-K flags IRA Medicare price negotiation/inflation rebates, One Big Beautiful Bill Act (Jul 2025) Medicaid cuts that 'could adversely affect our sales of LOQTORZI,' proposed most-favored-nation Medicare rebate models, and pharma-tariff threats (relevant given China-based supply). Aggregate pricing/policy pressure on the sole revenue stream."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Market-size support,LOQTORZI (toripalimab-tpzi),2026-03-31,Modest but defined; caps peak revenue,assessment,Orion Analysis,High,Neutral,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - LOQTORZI Opportunity; MD&A,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: ~2,000 eligible RM-NPC patients / ~$250M company-estimated opportunity is a small oncology TAM that ceilings peak sales, but FY2025 revenue of $40.8M leaves multi-year runway. Net: neutral - sufficient to service a small debt load if penetration continues, insufficient to be a large-scale credit."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Product differentiation,LOQTORZI (toripalimab-tpzi),2026-03-31,Strong - sole FDA-approved / NCCN-preferred NPC immunotherapy,assessment,Orion Analysis,High,Positive,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Overview / Competition,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: only commercially available FDA-approved immunotherapy for NPC, all-lines label, NCCN category-1 preferred (1L) and only preferred subsequent-line option, durable JUPITER-02 OS benefit. Genuine, defensible clinical/commercial differentiation supports pricing power and coverage."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Competitive intensity,LOQTORZI (toripalimab-tpzi),2026-03-31,Rising - approved rival (penpulimab) + off-label class,assessment,Orion Analysis,High,Negative,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Competition,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: penpulimab is FDA-approved with an overlapping NPC label (not yet U.S.-launched); pembrolizumab is used off-label; the PD-1/PD-L1 class is crowded with well-funded owners. Near-term share protected by sole availability + guidelines, but a penpulimab launch is the key downside catalyst to the revenue thesis."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Adoption risk,LOQTORZI (toripalimab-tpzi),2026-03-31,Moderating - strong guidelines vs small base / QoQ softness,assessment,Orion Analysis,Medium,Neutral,Orion Analysis,02_Earnings/releases/2026-05-11_CHRS_ER_Q1-2026.pdf,LOQTORZI Commercial Updates; 10-K MD&A,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058666/chrs-20260511xex99d1.htm,"Orion Analysis: NCCN category-1 status and no biomarker barrier support uptake; +61% YoY revenue confirms adoption. Offsetting: small patient base yields lumpy quarters (Q1 2026 -5% QoQ) and adoption is approaching a modest ceiling. Net neutral."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Reimbursement risk,LOQTORZI (toripalimab-tpzi),2026-03-31,Low-to-moderate - broad coverage; IRA/Medicaid watch,assessment,Orion Analysis,Medium,Neutral,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Government Regulation; payer policies,https://www.aetna.com/cpb/medical/data/1000_1099/1049.html,"Orion Analysis: on-label, NCCN-preferred, buy-and-bill biologic with favorable Medicare Part B and commercial coverage (prior auth only) - reimbursement is currently a support. Watch items: IRA rebates and OBBBA Medicaid cuts the company flags as able to hurt LOQTORZI sales. Net neutral."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Regulatory risk,LOQTORZI (toripalimab-tpzi),2026-03-31,Elevated - pricing policy + China single-source supply,assessment,Orion Analysis,High,Negative,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - Government Regulation (p.19); Risk Factors,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: IRA/most-favored-nation/OBBBA pricing pressure plus single-source China-based manufacturing (tariff and supply-disruption exposure) concentrate regulatory risk on the sole product. Onshoring initiative mitigates over time. Net negative for the credit."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Patent / exclusivity risk,LOQTORZI (toripalimab-tpzi),2026-03-31,Low through debt tenor - orphan (2030) + BLA (2035),assessment,Orion Analysis,High,Positive,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1 - IP; FDA OOPD,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/detailedIndex.cfm?cfgridkey=738620,"Orion Analysis: 7-year orphan exclusivity (to ~2030-10-27) and 12-year BLA reference-product exclusivity (to ~2035-10-27) both extend past the 2029 term-loan maturity, so biosimilar/same-drug erosion is not a repayment-window risk. Caveat: specific composition patents/LOE not disclosed. Net positive vs the debt tenor."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Revenue-concentration risk,LOQTORZI (toripalimab-tpzi),2026-03-31,High - single product / single indication / U.S.-only,assessment,Orion Analysis,High,Negative,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,"Risk Factors (p.23-24,36); Note 2",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: 100% of product revenue is one drug (LOQTORZI), one indication (NPC), one geography (U.S.), sold through three wholesalers (~99%). Pipeline (casdozokitug, tagmokitug) is only Phase 1b/2 - no near-term diversification. Concentration is the dominant structural credit weakness."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Overall industry / franchise outlook,LOQTORZI (toripalimab-tpzi),2026-03-31,Niche but defensible; growth must continue to matter for credit,assessment,Orion Analysis,High,Neutral,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,Item 1; MD&A; Risk Factors,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: a differentiated, guideline-anchored, exclusivity-protected franchise in a small, slowly-declining-incidence indication. Outlook cautiously neutral: durable clinical position and long exclusivity vs small TAM, single-product concentration, an approved rival waiting to launch, and pricing-policy pressure. Credit thesis hinges on continued LOQTORZI ramp toward the ~$250M ceiling."
"Coherus Oncology, Inc.",CHRS,Credit Implications,Assessment,Direct implication for debt repayment,"2029 Term Loan (SOFR+8%, ~$37M, matures 2029-05-08)",2026-03-31,Near-term covered by liquidity; long-term hinges on LOQTORZI ramp + capital access,assessment,Orion Analysis,High,Neutral,Orion Analysis,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,MD&A - Liquidity; Note 8,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=10-K,"Orion Analysis: the ~$37M 2029 term loan (SOFR+8%, interest-only) matures 2029-05-08 - before both exclusivity cliffs (2030/2035), so franchise durability is not the repayment constraint. Near-term default risk is low given a net-cash balance sheet (~$167M liquidity, Q1 2026) and covenant-light terms. Long-term repayment depends on LOQTORZI scaling revenue/turning cash-generative and/or continued equity-market access, since the company still runs operating losses. Balanced/neutral overall; single-product execution is the swing factor."
