published_date,event_date,company,ticker,headline,source_name,category,affected_entity_or_product,summary,affected_metric_or_risk,credit_impact,importance,time_horizon,orion_interpretation,monitoring_action,status,source_file,source_url,notes
2025-04-25,2025-04-23,"Akeso, Inc. / Chia Tai Tianqing",AKESO,FDA approves Akeso's penpulimab-kcqx for non-keratinizing nasopharyngeal carcinoma,FDA; Akeso press release,Competition,Penpulimab-kcqx (competitor to LOQTORZI),"The FDA approved penpulimab-kcqx (Akeso/Chia Tai Tianqing) in two NPC indications directly overlapping LOQTORZI: first-line non-keratinizing recurrent/metastatic NPC with platinum plus gemcitabine, and monotherapy for metastatic non-keratinizing NPC after platinum and at least one prior line. Per Coherus's FY2025 10-K, Akeso had not launched penpulimab in the U.S. as of that filing.",Revenue; pricing power; product adoption,Negative,High,Near Term,"The first approved, label-overlapping PD-1 rival in NPC. The threat is latent while unlaunched, but a U.S. commercialization (likely via a partner) would introduce direct price and share competition to LOQTORZI's sole revenue stream and pressure the ramp the credit relies on.","Watch for a penpulimab U.S. launch, pricing and commercial partner",Monitoring,,https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshots-penpulimab-kcqx,FDA snapshot date 2025-04-23; Akeso PR 2025-04-25. Not launched in U.S. per Coherus FY2025 10-K.
2025-04-25,2025-04-22,"Coherus Oncology, Inc.",CHRS,Director Mark Stolper to step down; board reduced to nine directors,Coherus 8-K (Item 5.02),Management,Coherus Oncology board of directors,"Director Mark D. Stolper notified the board he would not stand for re-election (departing at the 2025 Annual Meeting, with consulting support through 12/31/2026). The board reclassified two directors and reduced its size from ten to nine. CEO Dennis Lanfear signed as CEO.",Governance,Neutral,Low,Long Term,Routine board downsizing consistent with the smaller post-divestiture company; no indication of a governance dispute. Neutral for the credit.,Monitor board composition and governance continuity,Archived,01_Filings/8K/2025-04-25_CHRS_8K_items-5-02.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025005554/chrs-20250422x8k.htm,8-K accession 0001558370-25-005554 (chrs-20250422x8k).
2025-08-07,2025-06-30,"Coherus Oncology, Inc.",CHRS,Coherus substantially retires 2026 convertible notes; ~$121K principal stub remains,Coherus Q2 2025 10-Q; Q1 2026 10-Q (Note 8),Financing,1.50% Convertible Senior Subordinated Notes due 2026,"After the $170.0M April 2025 repurchase, Coherus repurchased a further $59.9M of the 2026 convertible notes in May 2025 via a fundamental-change repurchase offer triggered by the UDENYCA sale. The balance-sheet convertible line printed as nil (dash) from 6/30/2025, but a ~$121K ($0.1M) principal stub remained outstanding through 3/31/2026 and was repaid in April 2026. Total cash used ~$233.2M with a ~$17.6M loss on extinguishment; carrying value was $228.2M at 12/31/2024.",Leverage; refinancing risk,Positive,High,Near Term,"Substantially completes the deleveraging: the company is left with essentially one material debt instrument (the Barings/BBDC term loan due 2029) plus an immaterial ~$121K convertible stub, and a net-cash balance sheet, sharply lowering near-term default and refinancing risk.",Confirm the ~$121K convertible stub was repaid (April 2026) and the ~$37M 2029 term loan is the sole material debt,Resolved,01_Filings/10Q/2025-08-07_CHRS_10Q_Q2-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630x10q.htm,Residual $121K principal per Note 8 remained through Q1 2026 and was repaid April 2026; balance-sheet line rounded to nil from 6/30/2025.
2025-05-12,2025-03-31,"Coherus Oncology, Inc.",CHRS,"Coherus reports Q1 2025 results; LOQTORZI net sales $7.3M, cash $82.4M (pre-UDENYCA proceeds)",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),Q1 2025 LOQTORZI net product revenue was $7.3M (dollars roughly flat QoQ on gross-to-net/inventory timing though underlying demand grew ~15%). Cash and investments were $82.4M at 3/31/2025; the $483.4M UDENYCA upfront was received just after quarter-end in April.,Revenue; liquidity,Neutral,Medium,Near Term,"A flat revenue quarter shows small-base lumpiness, but the post-quarter UDENYCA cash inflow removed the near-term liquidity concern implied by the $82.4M balance. Neutral.",Track LOQTORZI demand vs reported net sales and gross-to-net dynamics,Archived,02_Earnings/releases/2025-05-12_CHRS_ER_Q1-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025007410/chrs-20250512xex99d1.htm,
2025-05-30,2025-05-29,"Coherus Oncology, Inc.",CHRS,"Coherus BioSciences renames to Coherus Oncology, Inc. (ticker unchanged)",Coherus 8-K (Item 5.03) / IR,Management,"Coherus Oncology, Inc.","Effective 2025-05-29, the company changed its name from Coherus BioSciences, Inc. to Coherus Oncology, Inc. via a Delaware certificate amendment (no stockholder vote required). Ticker (CHRS), CUSIP and legal entity were unchanged.",Corporate identity,Neutral,Low,Long Term,Cosmetic completion of the biosimilar-to-oncology pivot; no change to obligations or entity. Neutral for the credit but confirms the single-franchise strategy.,None material,Archived,,https://www.sec.gov/Archives/edgar/data/1512762/000155837025008294/chrs-20250529x8k.htm,8-K accession 0001558370-25-008294.
2025-07-04,2025-07-04,"Coherus Oncology, Inc.",CHRS,One Big Beautiful Bill Act Medicaid changes flagged as a potential headwind to LOQTORZI sales,Coherus FY2025 10-K (Risk Factors),Regulatory,LOQTORZI (toripalimab-tpzi),"Coherus's FY2025 10-K identifies the July 2025 One Big Beautiful Bill Act's Medicaid provisions, alongside IRA Medicare price-negotiation/inflation-rebate rules, as healthcare-reform developments that 'could adversely affect' LOQTORZI sales.",Revenue; reimbursement,Negative,Medium,Long Term,A policy-level pricing/coverage risk rather than a specific action against LOQTORZI. Potential Medicaid coverage/volume pressure over time; not an immediate revenue hit. LOQTORZI is not IRA negotiation-eligible near term (biologic licensed 10/2023).,Monitor Medicaid rule implementation and any LOQTORZI coverage changes,Monitoring,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,IRA Medicare negotiation eligibility does not arise until 11+ years post-licensure.
2025-08-07,2025-06-30,"Coherus Oncology, Inc.",CHRS,"Coherus reports Q2 2025 results; LOQTORZI net sales $10.0M, cash $237.6M, net cash balance sheet",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),Q2 2025 LOQTORZI net product revenue was $10.0M (+36% QoQ). Cash and investments were $237.6M at 6/30/2025 following UDENYCA proceeds and note retirement; convertibles $0 and only the ~$36.9M term loan outstanding. Management cited runway through 2026 beyond key data readouts.,Revenue; liquidity; leverage,Positive,High,Near Term,"Best-positioned quarter of the period: strong sequential growth, net-cash balance sheet and minimal debt. Materially reduces near-term credit risk on the Barings term loan.",Track continued LOQTORZI growth and cash burn against the stated runway,Monitoring,02_Earnings/releases/2025-08-07_CHRS_ER_Q2-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010802/chrs-20250807xex99d1.htm,
2025-11-06,2025-09-30,"Coherus Oncology, Inc.",CHRS,"Coherus reports Q3 2025 results; LOQTORZI net sales $11.2M (+92% YoY), cash $191.7M",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),"Q3 2025 LOQTORZI net product revenue was $11.2M (+12% QoQ, +92% YoY). Cash and investments were $191.7M at 9/30/2025.",Revenue; liquidity,Positive,Medium,Near Term,"Sustained strong YoY growth confirms the adoption thesis; steady cash. Positive, though absolute revenue remains far below the debt-service comfort a larger base would provide.",Track LOQTORZI trajectory toward the ~$250M addressable ceiling,Monitoring,02_Earnings/releases/2025-11-06_CHRS_ER_Q3-2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465925107780/chrs-20251106xex99d1.htm,
2025-12-08,2025-12-05,"Coherus Oncology, Inc.",CHRS,Six-year JUPITER-02 follow-up shows median OS 64.8 vs 33.7 months (HR 0.62),Coherus IR; Annals of Oncology; ESMO Asia 2025,Clinical,LOQTORZI (toripalimab-tpzi),"Six-year follow-up of the JUPITER-02 first-line NPC trial, presented at ESMO Asia 2025, showed median overall survival of 64.8 vs 33.7 months for toripalimab plus chemotherapy vs chemotherapy alone (HR 0.62), an ~38% reduction in risk of death.",Product adoption; enterprise value,Positive,Medium,Long Term,"Mature, durable OS benefit strengthens the clinical moat and supports continued guideline/payer positioning and prescriber confidence, reinforcing the revenue durability the credit depends on.",Monitor whether durable OS data sustains share against emerging competition,Monitoring,,https://investors.coherus.com/news-releases/news-release-details/coherus-announces-six-year-jupiter-02-follow-results-showing,Peer-reviewed in Annals of Oncology.
2026-01-13,2026-01-13,"Coherus Oncology, Inc.",CHRS,Coherus issues preliminary 2025 results; LOQTORZI FY2025 net sales ~$40.8M; 2026 expected higher,Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),Coherus released preliminary FY2025 results indicating LOQTORZI net product revenue of ~$40.8M (more than double 2024) and guided that 2026 net revenue from continuing operations would be higher than 2025.,Revenue,Positive,Medium,Near Term,"Confirms LOQTORZI more than doubled to ~$41M and forward growth guidance, supportive of the revenue-ramp thesis. Still a small base relative to the cost structure.",Compare to audited FY2025 results and 2026 growth delivery,Archived,02_Earnings/releases/2026-01-13_CHRS_ER_Jan-Prelim-Guidance-2026.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926003117/chrs-20260113xex99d1.htm,
2026-01-23,2026-01-23,"Coherus Oncology, Inc.",CHRS,Coherus updates at-the-market equity program to ~$64.9M,Coherus 424B5 prospectus supplement,Financing,Coherus Oncology common stock (ATM),Coherus updated its ATM equity program to authorize up to ~$64.88M of common-stock sales (agent TD Cowen). No ATM proceeds were drawn during 2025.,Liquidity; financing flexibility,Neutral,Low,Near Term,"Maintains an equity-financing option to supplement runway. Availability is a modest liquidity positive, but reliance on equity signals continued operating losses; the offering below reflects use of that access.",Watch for ATM utilization and dilution,Monitoring,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001512762&type=424B5,Program updated via 424B5 dated 2026-01-23.
2026-02-04,2026-02-04,"Coherus Oncology, Inc.",CHRS,Coherus and Johnson & Johnson enter clinical supply agreement for tagmokitug plus pasritamig in prostate cancer,Coherus IR; Coherus Q1 2026 10-Q,Partnership,"Tagmokitug (CHS-114, anti-CCR8) pipeline","Coherus entered a clinical supply agreement with Johnson & Johnson to evaluate tagmokitug (anti-CCR8) combined with J&J's pasritamig in metastatic castration-resistant prostate cancer, with a Phase 1b expected to begin in fall 2026.",Pipeline optionality; enterprise value,Neutral,Low,Long Term,"Third-party validation of the CCR8 asset at low cost to Coherus (a supply, not licensing, deal). Longer-dated optionality only; no near-term revenue or cash impact.",Track tagmokitug combination trial initiation and readouts,Monitoring,02_Earnings/releases/2026-05-11_CHRS_ER_Q1-2026.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058666/chrs-20260511xex99d1.htm,
2026-02-17,2026-02-17,"Coherus Oncology, Inc.",CHRS,Coherus closes underwritten public offering: 28.6M shares at $1.75 for ~$50.1M gross,Coherus IR (GlobeNewswire),Financing,Coherus Oncology common stock,"Coherus closed an underwritten public offering of 28,600,000 shares at $1.75 for ~$50.1M gross (with an option for additional shares), for LOQTORZI commercialization, clinical development and working capital. Bookrunners TD Cowen, Guggenheim and Oppenheimer.",Liquidity runway; dilution,Positive,Medium,Near Term,"Raising equity ahead of continued burn bolsters the cash cushion supporting the term loan (credit-positive on liquidity), and equity sits below the debt. The low $1.75 price and the need to raise while still net-cash also signal ongoing operating losses and limited market valuation.","Track net proceeds, resulting cash balance and any further raises",Monitoring,,https://www.globenewswire.com/news-release/2026/02/17/3239756/33333/en/Coherus-Oncology-Inc-Announces-Closing-of-Public-Offering-of-Common-Stock.html,
2026-03-09,2025-12-31,"Coherus Oncology, Inc.",CHRS,"Coherus reports FY2025 results and files 10-K; LOQTORZI net sales $40.8M, cash $172.1M",Coherus press release (8-K EX-99.1); FY2025 10-K,Earnings,LOQTORZI (toripalimab-tpzi),"Full-year 2025 LOQTORZI net product revenue was $40.8M (Q4 $12.4M). Cash and investments were $172.1M at 12/31/2025, including ~$65.1M of restricted transition-services (TSA) collections offset by related payables. Essentially the only debt is the ~$37M 2029 term loan (an immaterial ~$121K convertible stub remained, repaid April 2026); company expects 2026 net revenue higher than 2025.",Revenue; liquidity; leverage,Neutral,High,Near Term,"Solid revenue doubling and a clean, low-debt balance sheet, but headline cash is inflated by restricted TSA balances (a real liquidity caveat) and the company still runs meaningful continuing-operations losses. Net neutral: strong structure, unproven self-funding.","Track FY2026 revenue growth, ex-TSA cash and burn against runway guidance",Monitoring,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Headline cash includes ~$65.1M restricted TSA-related collections.
2026-03-09,2026-03-31,"Coherus Oncology, Inc.",CHRS,U.S.-manufactured LOQTORZI drug substance receives regulatory approval (onshoring milestone),Coherus FY2025 10-K; Q1 2026 10-Q,Manufacturing,LOQTORZI (toripalimab-tpzi),Coherus advanced a U.S. onshoring initiative for LOQTORZI (and pipeline assets); U.S.-made LOQTORZI drug substance received regulatory approval in Q1 2026 and the company began capitalizing U.S.-made inventory. Product had been single-sourced from Junshi in China.,Gross margin; supply risk; tariff exposure,Positive,Medium,Long Term,Reduces reliance on single-source Chinese supply and mitigates pharmaceutical-tariff and supply-disruption risk to the sole revenue stream. Supports margin/supply resilience over time; modest transition cost near term.,Track completion of U.S. onshoring and any supply or tariff developments,Monitoring,01_Filings/10K/2026-03-09_CHRS_10K_FY2025.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Reported in FY2025 10-K / Q1 2026 disclosures.
2026-05-11,2026-03-31,"Coherus Oncology, Inc.",CHRS,"Coherus reports Q1 2026 results; LOQTORZI net sales $11.8M (+61% YoY, -5% QoQ), cash $167.0M",Coherus press release (8-K EX-99.1),Earnings,LOQTORZI (toripalimab-tpzi),"Q1 2026 LOQTORZI net product revenue was $11.8M, up 61% YoY but down ~5% QoQ from $12.4M (company attributed the sequential dip to weather/seasonality, not demand, citing record new patient starts). Cash and investments were $167.0M at 3/31/2026, including ~$61.6M restricted TSA-related collections.",Revenue; liquidity,Neutral,High,Near Term,"First sequential revenue decline of the launch, but strong YoY growth and record patient starts suggest a timing effect rather than demand erosion. Liquidity adequate though again flattered by restricted TSA balances. Neutral pending Q2 confirmation.",Confirm whether Q2 2026 net sales resume sequential growth; monitor ex-TSA cash,Monitoring,02_Earnings/releases/2026-05-11_CHRS_ER_Q1-2026.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926058666/chrs-20260511xex99d1.htm,Latest reported quarter as of the monitoring date.
2026-06-15,2026-06-12,"Coherus Oncology, Inc.",CHRS,Coherus dismisses Ernst & Young and engages PwC as independent auditor,Coherus 8-K (Item 4.01; EX-16.1),Auditor,"Coherus Oncology, Inc.",On 2026-06-12 the Audit Committee dismissed Ernst & Young LLP and engaged PricewaterhouseCoopers LLP for FY2026. EY's reports on FY2024 and FY2025 contained no adverse/qualified opinion and there were no disagreements. EY's EX-16.1 letter concurred.,Financial reporting; controls,Neutral,Medium,Near Term,"The 8-K reported no disagreements and no adverse or qualified opinions on FY2024/FY2025; the sole reportable event was the previously disclosed, now-remediated inventory material weakness. Treated as a routine successor-auditor change rather than a credit event, though PwC's first audit is worth watching for any transition issues.","Review PwC's first audit for any new findings, restatements or filing delays",New,01_Filings/8K/2026-06-15_CHRS_8K_items-4-01_9-01.pdf,https://www.sec.gov/Archives/edgar/data/1512762/000110465926074090/chrs-20260612x8k.htm,8-K accession 0001104659-26-074090. No disagreements or accounting concerns disclosed; classified Neutral accordingly.
2026-02-19,2025-12-31,"Barings BDC, Inc.",BBDC,Barings BDC holds Coherus first-lien senior secured term loan (2029) in its investment portfolio,Barings BDC 10-K (Schedule of Investments); EDGAR full-text search,Portfolio Position,Coherus 2029 term loan (BBDC-held),"Barings BDC's Consolidated Schedule of Investments lists a Coherus first-lien senior secured term loan under Healthcare & Pharmaceuticals. The position (the ~$38.7M/SOFR+8%/2029 Barings facility) appears in every BBDC periodic report since Q2 2024 (first at 6/30/2024) and continues through the Q1 2026 10-Q. Affiliated Barings BDCs (Barings Capital Investment Corp, Barings Private Credit Corp) also reference Coherus, indicating a co-invested Barings facility. Exact BBDC par/cost/fair-value/coupon could not be extracted in this environment.",Recovery value; fair-value mark of BBDC position,Neutral,High,Long Term,"This is BBDC's direct Coherus credit exposure. With Coherus now net-cash, minimally levered and covenant-compliant, the term loan should mark at/near par; the fair-value mark is the key monitoring metric. Downside triggers would be a LOQTORZI sales stall, a penpulimab launch, or covenant/liquidity deterioration.",Pull the exact Coherus par/cost/fair-value from BBDC's SOI each quarter; watch for markdowns or non-accrual,Monitoring,,https://www.sec.gov/Archives/edgar/data/1379785/000137978526000009/bbdc-20251231.htm,"Instrument confirmed as First Lien Senior Secured Term Loan; exact dollar marks not extractable here - retrieve from BBDC SOI (e.g., Financial_Report.xlsx)."
2025-07-10,2025-07-10,BeiGene / BeOne Medicines,ONC,European Commission approves tislelizumab for first-line metastatic NPC (no U.S. NPC approval),OncLive; company announcements,Competition,Tislelizumab (class competitor),The European Commission approved tislelizumab plus chemotherapy for first-line metastatic NPC. Tislelizumab is U.S.-approved in other tumor types but has no U.S. FDA NPC approval or filing.,Revenue; competitive intensity (long term),Negative,Low,Long Term,"Signals continued PD-1 class encroachment into NPC globally. No current U.S. NPC threat to LOQTORZI, but a potential longer-dated entrant to monitor.",Watch for any U.S. NPC filing by tislelizumab or other class PD-1s,Monitoring,,https://www.onclive.com/view/european-commission-approves-first-line-tislelizumab-plus-chemo-for-metastatic-nasopharyngeal-carcinoma,EU-only NPC approval; not a current U.S. competitor.
2026-07-19,2024-01-01_2026-07-19,"Coherus Oncology, Inc.",CHRS,Orion Analysis - Most important positive development,Orion Analysis,Other,Coherus capital structure,"The 2024-2025 biosimilar divestitures (CIMERLI, YUSIMRY and the $483.4M UDENYCA sale) funded the substantially full retirement of the ~$230M 2026 convertible notes (a ~$121K stub was repaid April 2026), leaving essentially only the ~$37M Barings 2029 term loan and a net-cash balance sheet.",Leverage; refinancing risk; liquidity,Positive,Critical,Near Term,"Deleveraging transformed Coherus from a multi-product, convertible-heavy issuer into a low-debt, net-cash single-product company. For BBDC's term-loan exposure this is the single most credit-supportive development of the period, sharply lowering near-term default and refinancing risk.",Confirm the 2029 term loan remains the sole material debt and monitor cash trend,Monitoring,,https://www.globenewswire.com/news-release/2025/04/14/3060846/33333/en/Coherus-Completes-Strategic-Transformation-with-Successful-Divestiture-of-UDENYCA-Franchise.html,Summary row.
2026-07-19,2024-01-01_2026-07-19,"Coherus Oncology, Inc.",CHRS,Orion Analysis - Most important negative development,Orion Analysis,Competition,LOQTORZI (toripalimab-tpzi),"FDA approval of Akeso's penpulimab-kcqx (April 2025) created the first label-overlapping PD-1 competitor in NPC. It had not launched in the U.S. as of the FY2025 10-K, but a launch would directly threaten LOQTORZI's sole-product revenue stream.",Revenue; pricing power; recovery value,Negative,High,Near Term,"Because 100% of Coherus revenue is LOQTORZI, a penpulimab U.S. launch is the most consequential downside catalyst to the credit thesis - it would pressure price and share on the only asset servicing the term loan. Latent but high-impact.","Watch for a penpulimab U.S. launch, partner and pricing",Monitoring,,https://www.fda.gov/drugs/drug-approvals-and-databases/drug-trials-snapshots-penpulimab-kcqx,Summary row.
2026-07-19,2024-01-01_2026-07-19,"Coherus Oncology, Inc.",CHRS,Orion Analysis - Dominant news trend,Orion Analysis,Other,"Coherus Oncology, Inc.","Strategic transformation into a pure, deleveraged oncology company built on a single growing product: biosimilars sold, debt retired, LOQTORZI net sales rising from $19.1M (2024) to $40.8M (2025) with continued 2026 growth guidance.",Revenue; leverage; concentration,Neutral,High,Long Term,"The dominant narrative is improving balance-sheet quality set against rising single-product concentration. Credit quality has improved structurally, but the thesis now rests entirely on LOQTORZI continuing to scale toward its ~$250M ceiling without competitive or reimbursement disruption.",Track LOQTORZI growth durability and any diversification,Monitoring,,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Summary row.
2026-07-19,2026-07-19,"Coherus Oncology, Inc.",CHRS,Orion Analysis - Near-term catalyst,Orion Analysis,Clinical,Casdozokitug (CHS-388) pipeline; LOQTORZI,"The most-watched near-term item is the casdozokitug HCC Phase 2 (toripalimab combination) readout guided to mid-2026 and still pending as of 2026-07-19; alongside it, Q2 2026 LOQTORZI net sales will show whether the Q1 2026 sequential dip was timing-related.",Enterprise value; revenue,Neutral,Medium,Immediate,"The casdozokitug readout is an equity/enterprise-value catalyst rather than a direct debt-service driver, but a positive result would broaden the pipeline beyond NPC. The Q2 2026 sales print is the more direct credit signal for the LOQTORZI ramp.",Watch casdozokitug HCC Phase 2 readout and Q2 2026 LOQTORZI net sales,New,,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Summary row.
2026-07-19,2024-01-01_2026-07-19,"Coherus Oncology, Inc.",CHRS,Orion Analysis - Principal emerging risk,Orion Analysis,Other,LOQTORZI (toripalimab-tpzi); Coherus liquidity,"The principal emerging risk is sustained single-product reliance colliding with (a) an approved-but-unlaunched competitor, (b) a June 2026 auditor change following an inventory-related material weakness, and (c) continuing-operations losses that make headline cash (partly restricted TSA balances) an imperfect liquidity gauge.",Revenue; liquidity runway; controls; covenant headroom,Negative,High,Long Term,"No single item is presently critical, but their combination - concentration, latent competition, control/reporting questions and cash-burn dependence on capital markets - is the cluster most likely to erode the term-loan credit over time. Covenant headroom and ex-TSA cash are the metrics to watch.","Monitor ex-TSA cash, covenant compliance, competitor launch and PwC's first audit",Monitoring,,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Summary row.
2026-07-19,2024-01-01_2026-07-19,"Coherus Oncology, Inc.",CHRS,Orion Analysis - Overall news signal,Orion Analysis,Other,Coherus 2029 term loan (BBDC exposure),Net assessment across all developments January 2024 - July 2026.,Overall credit signal,Neutral,High,Long Term,"Overall signal: NEUTRAL, with a positive structural tilt. Aggressive deleveraging and a net-cash balance sheet have sharply de-risked the near-term term-loan credit, while single-product concentration, an approved competitor, an auditor change/material weakness and ongoing operating losses cap the upside. For BBDC's first-lien 2029 term loan, near-term recovery/repayment prospects look sound; the medium-term outcome hinges on LOQTORZI's continued ramp and capital access.","Reassess signal on Q2 2026 results, competitor-launch news and covenant certificates",Monitoring,,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/chrs-20251231x10k.htm,Summary row. Overall news signal: Neutral.
